ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,Class
-0.06,0.0,-705.55,-720.0,1
-0.06,0.0,-705.5099999999999,-720.0,1
-0.06,0.0,-705.47,-720.0,1
-0.08,0.0,-705.47,-720.0,1
-0.1,0.0,-705.4300000000001,-720.0,1
-0.12000000000000001,0.0,-705.4599999999999,-720.0,1
-0.1,0.0,-705.4399999999999,-720.0,1
-0.1,0.0,-691.0000000000001,-720.0,1
-0.12000000000000001,0.0,-690.9600000000002,-720.0,1
-0.12000000000000001,0.0,-690.98,-720.0,1
-0.12,0.0,-691.0,-720.0,1
-0.12,0.0,-690.97,-720.0,1
-0.1,0.0,-691.0,-720.0,1
-0.12000000000000001,0.0,-690.96,-720.0,1
-0.12000000000000001,0.0,-690.94,-720.0,1
-0.12,0.0,-690.9800000000001,-720.0,1
-0.14,0.0,-691.0200000000002,-720.0,1
-0.14,0.0,-691.0500000000001,-720.0,1
-0.14,0.0,-691.04,-720.0,1
-0.14,0.0,-691.0699999999999,-720.0,1
-0.14,0.0,-691.0899999999999,-720.0,1
-0.14,0.0,-691.0799999999999,-720.0,1
-0.14,0.0,-691.0799999999999,-720.0,1
-0.13999999999999999,0.0,-691.1099999999999,-720.0,1
-0.13999999999999999,0.0,-691.1199999999999,-720.0,1
-0.12,0.0,-691.1500000000001,-720.0,1
-0.13999999999999999,0.0,-691.2,-720.0,1
-0.13999999999999999,0.0,-691.2099999999999,-720.0,1
-0.14,0.0,-691.2199999999999,-720.0,1
-0.14,0.0,-705.7099999999999,-720.25,1
-0.14,0.0,-705.68,-720.0,1
-0.14,0.0,-705.72,-720.0,1
-0.14,0.0,-705.82,-720.0,1
-0.14,0.0,-705.9200000000001,-720.25,1
-0.14,0.0,-706.01,-720.25,1
-0.16,0.0,-691.52,-720.0,1
-0.16,0.0,-691.62,-720.0,1
-0.16,0.0,-691.72,-720.25,1
-0.16,0.0,-691.7900000000001,-720.5,1
-0.16,0.0,-691.9100000000001,-720.5,1
-0.18,0.0,-691.95,-720.5,1
-0.16,0.0,-692.0600000000001,-720.5,1
-0.16,0.0,-692.1300000000001,-720.75,1
-0.16,0.0,-692.1700000000001,-720.75,1
-0.16,0.0,-692.14,-720.5,1
-0.2,0.0,-692.15,-720.5,1
-0.2,0.0,-692.2,-720.5,1
-0.2,0.0,-692.2700000000001,-720.75,1
-0.22,0.0,-692.3700000000001,-721.0,1
-0.23999999999999996,0.0,-692.48,-721.25,1
-0.23999999999999996,0.0,-692.6,-721.25,1
-0.24,0.0,-692.7099999999999,-721.5,1
-0.26,0.0,-692.8299999999999,-721.5,1
-0.24,0.0,-692.96,-721.5,1
-0.22,0.0,-693.0999999999999,-721.75,1
-0.22,0.0,-693.1899999999999,-722.0,1
-0.22,0.0,-693.31,-722.0,1
-0.21999999999999997,0.0,-707.89,-722.25,1
-0.24000000000000002,0.0,-708.06,-722.5,1
-0.26,0.0,-708.18,-722.5,1
-0.26,0.0,-708.27,-722.5,1
-0.26,0.0,-708.4399999999999,-722.75,1
-0.28,0.0,-708.5899999999999,-723.0,1
-0.26,0.0,-694.13,-723.0,1
-0.26,0.0,-694.3099999999998,-723.0,1
-0.26,0.0,-694.4199999999998,-723.25,1
-0.22,0.0,-694.5600000000001,-723.5,1
-0.22,0.0,-694.7100000000002,-723.5,1
-0.22000000000000003,0.0,-694.9000000000001,-723.75,1
