Data[0],Time,Force,X_axis,Y_axis,Z_axis
8,0.0000,0.00,49150.5000,49150.5000,49150.5000
1,0.0200,-1.00,-171.0000,411.0000,-2443.5000
1,0.0400,0.00,-175.5000,408.0000,-2445.0000
1,0.0600,-1.00,-175.5000,411.0000,-2443.5000
1,0.0800,0.00,-174.0000,408.0000,-2443.5000
1,0.1000,2.00,-174.0000,412.5000,-2443.5000
1,0.1200,0.00,-169.5000,408.0000,-2446.5000
1,0.1400,-1.00,-177.0000,408.0000,-2445.0000
1,0.1600,0.00,-175.5000,412.5000,-2443.5000
1,0.1800,-1.00,-172.5000,411.0000,-2443.5000
1,0.2000,0.00,-174.0000,409.5000,-2443.5000
1,0.2200,0.00,-174.0000,409.5000,-2443.5000
1,0.2400,-2.00,-172.5000,411.0000,-2445.0000
1,0.2600,-1.00,-177.0000,411.0000,-2445.0000
1,0.2800,0.00,-171.0000,409.5000,-2445.0000
1,0.3000,0.00,-174.0000,406.5000,-2445.0000
1,0.3200,0.00,-172.5000,411.0000,-2443.5000
1,0.3400,0.00,-174.0000,411.0000,-2443.5000
1,0.3600,0.00,-175.5000,403.5000,-2443.5000
1,0.3800,-1.00,-177.0000,405.0000,-2443.5000
1,0.4000,0.00,-174.0000,409.5000,-2446.5000
1,0.4200,-1.00,-169.5000,411.0000,-2443.5000
1,0.4400,-1.00,-174.0000,406.5000,-2445.0000
1,0.4600,3.00,-177.0000,409.5000,-2443.5000
1,0.4800,0.00,-175.5000,409.5000,-2443.5000
1,0.5000,1.00,-172.5000,409.5000,-2443.5000
1,0.5200,0.00,-177.0000,411.0000,-2442.0000
1,0.5400,-1.00,-172.5000,409.5000,-2442.0000
1,0.5600,0.00,-178.5000,414.0000,-2443.5000
1,0.5800,0.00,-174.0000,409.5000,-2440.5000
1,0.6000,0.00,-171.0000,412.5000,-2442.0000
1,0.6200,0.00,-172.5000,415.5000,-2445.0000
1,0.6400,0.00,-171.0000,411.0000,-2443.5000
1,0.6600,0.00,-174.0000,412.5000,-2442.0000
1,0.6800,2.00,-178.5000,414.0000,-2443.5000
1,0.7000,0.00,-171.0000,412.5000,-2443.5000
1,0.7200,0.00,-174.0000,414.0000,-2443.5000
1,0.7400,0.00,-178.5000,417.0000,-2443.5000
1,0.7600,-1.00,-174.0000,414.0000,-2440.5000
1,0.7800,0.00,-178.5000,415.5000,-2440.5000
1,0.8000,0.00,-177.0000,414.0000,-2440.5000
1,0.8200,1.00,-175.5000,415.5000,-2440.5000
1,0.8400,0.00,-174.0000,412.5000,-2440.5000
1,0.8600,0.00,-171.0000,417.0000,-2442.0000
1,0.8800,-1.00,-166.5000,411.0000,-2440.5000
1,0.9000,0.00,-178.5000,417.0000,-2439.0000
1,0.9200,0.00,-172.5000,420.0000,-2442.0000
1,0.9400,-1.00,-174.0000,415.5000,-2442.0000
1,0.9600,0.00,-169.5000,415.5000,-2442.0000
1,0.9800,0.00,-172.5000,414.0000,-2439.0000
1,1.0000,2.00,-174.0000,418.5000,-2440.5000
1,1.0200,0.00,-171.0000,417.0000,-2442.0000
1,1.0400,0.00,-174.0000,414.0000,-2440.5000
1,1.0600,0.00,-178.5000,418.5000,-2440.5000
1,1.0800,0.00,-177.0000,417.0000,-2440.5000
1,1.1000,1.00,-172.5000,415.5000,-2440.5000
1,1.1200,0.00,-172.5000,420.0000,-2442.0000
1,1.1400,1.00,-174.0000,414.0000,-2440.5000
1,1.1600,-1.00,-174.0000,414.0000,-2442.0000
1,1.1800,2.00,-169.5000,415.5000,-2440.5000
1,1.2000,-1.00,-178.5000,420.0000,-2442.0000
1,1.2200,0.00,-174.0000,418.5000,-2443.5000
1,1.2400,-1.00,-175.5000,411.0000,-2439.0000
1,1.2600,0.00,-175.5000,417.0000,-2440.5000
1,1.2800,-1.00,-174.0000,423.0000,-2439.0000
1,1.3000,-3.00,-175.5000,415.5000,-2442.0000
1,1.3200,1.00,-169.5000,415.5000,-2440.5000
1,1.3400,-1.00,-177.0000,418.5000,-2440.5000
1,1.3600,0.00,-174.0000,415.5000,-2440.5000
1,1.3800,0.00,-177.0000,415.5000,-2440.5000
1,1.4000,0.00,-174.0000,412.5000,-2442.0000
1,1.4200,2.00,-172.5000,415.5000,-2440.5000
1,1.4400,0.00,-172.5000,418.5000,-2439.0000
1,1.4600,0.00,-175.5000,414.0000,-2442.0000
1,1.4800,-1.00,-174.0000,414.0000,-2440.5000
1,1.5000,2.00,-174.0000,415.5000,-2440.5000
1,1.5200,-3.00,-175.5000,412.5000,-2440.5000
1,1.5400,2.00,-169.5000,415.5000,-2440.5000
1,1.5600,0.00,-175.5000,415.5000,-2440.5000
1,1.5800,0.00,-169.5000,412.5000,-2440.5000
1,1.6000,1.00,-178.5000,421.5000,-2442.0000
1,1.6200,0.00,-172.5000,412.5000,-2440.5000
1,1.6400,-1.00,-172.5000,418.5000,-2440.5000
1,1.6600,0.00,-171.0000,421.5000,-2442.0000
1,1.6800,0.00,-177.0000,418.5000,-2440.5000
1,1.7000,2.00,-172.5000,414.0000,-2439.0000
1,1.7200,0.00,-172.5000,421.5000,-2442.0000
1,1.7400,0.00,-172.5000,412.5000,-2440.5000
1,1.7600,1.00,-175.5000,415.5000,-2440.5000
1,1.7800,1.00,-174.0000,417.0000,-2442.0000
1,1.8000,-3.00,-172.5000,418.5000,-2442.0000
1,1.8200,-2.00,-174.0000,414.0000,-2440.5000
1,1.8400,-1.00,-174.0000,418.5000,-2440.5000
1,1.8600,0.00,-169.5000,417.0000,-2440.5000
1,1.8800,0.00,-175.5000,415.5000,-2442.0000
1,1.9000,0.00,-177.0000,418.5000,-2440.5000
1,1.9200,2.00,-175.5000,415.5000,-2440.5000
1,1.9400,0.00,-178.5000,420.0000,-2440.5000
1,1.9600,4.00,-177.0000,414.0000,-2440.5000
1,1.9800,0.00,-171.0000,417.0000,-2440.5000
1,2.0000,1.00,-172.5000,414.0000,-2442.0000
1,2.0200,0.00,-171.0000,415.5000,-2439.0000
1,2.0400,-4.00,-174.0000,415.5000,-2440.5000
1,2.0600,0.00,-175.5000,415.5000,-2440.5000
1,2.0800,0.00,-175.5000,414.0000,-2440.5000
1,2.1000,0.00,-171.0000,415.5000,-2440.5000
1,2.1200,1.00,-174.0000,417.0000,-2440.5000
1,2.1400,-1.00,-175.5000,415.5000,-2439.0000
1,2.1600,0.00,-175.5000,421.5000,-2440.5000
1,2.1800,0.00,-175.5000,417.0000,-2439.0000
1,2.2000,0.00,-174.0000,415.5000,-2439.0000
1,2.2200,0.00,-171.0000,418.5000,-2442.0000
1,2.2400,0.00,-174.0000,415.5000,-2440.5000
1,2.2600,1.00,-178.5000,420.0000,-2440.5000
1,2.2800,-1.00,-175.5000,415.5000,-2440.5000
1,2.3000,1.00,-175.5000,420.0000,-2440.5000
1,2.3200,-3.00,-178.5000,415.5000,-2439.0000
1,2.3400,0.00,-171.0000,418.5000,-2439.0000
1,2.3600,0.00,-175.5000,415.5000,-2439.0000
1,2.3800,0.00,-172.5000,417.0000,-2439.0000
1,2.4000,-2.00,-174.0000,418.5000,-2440.5000
1,2.4200,-1.00,-174.0000,418.5000,-2439.0000
1,2.4400,0.00,-177.0000,412.5000,-2440.5000
1,2.4600,0.00,-175.5000,417.0000,-2440.5000
1,2.4800,1.00,-174.0000,417.0000,-2440.5000
1,2.5000,0.00,-178.5000,421.5000,-2439.0000
1,2.5200,0.00,-174.0000,418.5000,-2440.5000
1,2.5400,0.00,-175.5000,415.5000,-2440.5000
1,2.5600,-1.00,-168.0000,417.0000,-2440.5000
1,2.5800,0.00,-172.5000,417.0000,-2442.0000
1,2.6000,0.00,-174.0000,415.5000,-2439.0000
1,2.6200,0.00,-175.5000,417.0000,-2440.5000
1,2.6400,0.00,-175.5000,417.0000,-2440.5000
1,2.6600,0.00,-175.5000,414.0000,-2440.5000
1,2.6800,0.00,-5433.0000,415.5000,-2440.5000
1,2.7000,1.00,-171.0000,418.5000,-2439.0000
1,2.7200,-1.00,-172.5000,415.5000,-2440.5000
1,2.7400,0.00,-172.5000,418.5000,-2440.5000
1,2.7600,0.00,-177.0000,417.0000,-2440.5000
1,2.7800,2.00,-175.5000,421.5000,-2439.0000
1,2.8000,0.00,-172.5000,418.5000,-2440.5000
1,2.8200,0.00,-174.0000,415.5000,-2440.5000
1,2.8400,4.00,-174.0000,417.0000,-2440.5000
1,2.8600,0.00,-178.5000,418.5000,-2440.5000
1,2.8800,0.00,-172.5000,421.5000,-2439.0000
1,2.9000,0.00,-177.0000,415.5000,-2439.0000
1,2.9200,1.00,-177.0000,417.0000,-2442.0000
1,2.9400,2.00,-174.0000,420.0000,-2442.0000
1,2.9600,0.00,-177.0000,415.5000,-2440.5000
1,2.9800,1.00,-171.0000,415.5000,-2440.5000
1,3.0000,1.00,-175.5000,417.0000,-2439.0000
1,3.0200,0.00,-174.0000,418.5000,-2440.5000
1,3.0400,1.00,-178.5000,415.5000,-2439.0000
1,3.0600,-1.00,-178.5000,415.5000,-2439.0000
1,3.0800,2.00,-171.0000,414.0000,-2440.5000
1,3.1000,0.00,-180.0000,409.5000,-2439.0000
1,3.1200,2.00,-177.0000,418.5000,-2440.5000
1,3.1400,2.00,-175.5000,417.0000,-2439.0000
1,3.1600,0.00,-177.0000,418.5000,-2440.5000
1,3.1800,-1.00,-172.5000,417.0000,-2440.5000
1,3.2000,1.00,-177.0000,415.5000,-2439.0000
1,3.2200,-1.00,-174.0000,415.5000,-2442.0000
1,3.2400,-3.00,-175.5000,414.0000,-2439.0000
1,3.2600,0.00,-174.0000,414.0000,-2440.5000
1,3.2800,0.00,-178.5000,415.5000,-2440.5000
1,3.3000,-2.00,-175.5000,418.5000,-2439.0000
1,3.3200,1.00,-174.0000,414.0000,-2440.5000
1,3.3400,2.00,-175.5000,415.5000,-2440.5000
1,3.3600,0.00,-174.0000,418.5000,-2440.5000
1,3.3800,0.00,-172.5000,418.5000,-2440.5000
1,3.4000,0.00,-171.0000,420.0000,-2439.0000
1,3.4200,0.00,-177.0000,417.0000,-2440.5000
1,3.4400,0.00,-177.0000,414.0000,-2439.0000
