Time,Data[0],Force,X_axis,Y_axis,Z_axis,Class
0.0000,8,0.00,49150.5000,49150.5000,49150.5000,1
0.0200,1,0.00,-70.5000,537.0000,-2605.5000,1
0.0400,1,0.00,-69.0000,538.5000,-2605.5000,1
0.0600,1,0.00,-76.5000,534.0000,-2605.5000,1
0.0800,1,0.00,-69.0000,540.0000,-2605.5000,1
0.1000,1,-2.00,-64.5000,531.0000,-2605.5000,1
0.1200,1,0.00,-72.0000,532.5000,-2604.0000,1
0.1400,1,0.00,-69.0000,534.0000,-2604.0000,1
0.1600,1,-2.00,-70.5000,534.0000,-2604.0000,1
0.1800,1,0.00,-69.0000,534.0000,-2604.0000,1
0.2000,1,0.00,-69.0000,535.5000,-2604.0000,1
0.2200,1,0.00,-69.0000,535.5000,-2604.0000,1
0.2400,1,-1.00,-69.0000,534.0000,-2604.0000,1
0.2600,1,0.00,-70.5000,537.0000,-2605.5000,1
0.2800,1,0.00,-73.5000,535.5000,-2605.5000,1
0.3000,1,0.00,-66.0000,534.0000,-2604.0000,1
0.3200,1,0.00,-72.0000,535.5000,-2605.5000,1
0.3400,1,0.00,-66.0000,534.0000,-2605.5000,1
0.3600,1,0.00,-69.0000,535.5000,-2604.0000,1
0.3800,1,0.00,-69.0000,535.5000,-2605.5000,1
