Time,Displacement,Force,Work
0.0000,2.00,0.01,0.02
0.0500,4.00,0.01,0.04
0.1000,3.00,0.01,0.03
0.1500,3.00,0.01,0.03
0.2000,4.00,0.01,0.04
0.2500,0.00,0.01,0.00
0.3000,5.00,0.01,0.05
0.3500,4.00,0.01,0.04
0.4000,2.00,0.01,0.02
0.4500,6.00,0.01,0.06
0.5000,4.00,0.01,0.04
0.5500,5.00,0.01,0.05
0.6000,6.00,0.01,0.06
0.6500,4.00,0.01,0.04
0.7000,5.00,0.01,0.05
0.7500,5.00,0.01,0.05
0.8000,4.00,0.01,0.04
0.8500,5.00,0.01,0.05
0.9000,4.00,0.01,0.04
0.9500,4.00,0.01,0.04
1.0000,5.00,0.01,0.05
1.0500,3.00,0.01,0.03
1.1000,3.00,0.01,0.03
1.1500,3.00,0.01,0.03
1.2000,5.00,0.01,0.05
1.2500,3.00,0.01,0.03
1.3000,5.00,0.01,0.05
1.3500,3.00,0.01,0.03
1.4000,3.00,0.01,0.03
1.4500,4.00,0.01,0.04
1.5000,3.00,0.01,0.03
1.5500,5.00,0.01,0.05
1.6000,3.00,0.01,0.03
1.6500,4.00,0.01,0.04
1.7000,2.00,0.01,0.02
1.7500,5.00,0.01,0.05
1.8000,3.00,0.01,0.03
1.8500,5.00,0.01,0.05
1.9000,4.00,0.01,0.04
1.9500,3.00,0.01,0.03
2.0000,3.00,0.01,0.03
2.0500,1.00,0.01,0.01
2.1000,2.00,0.01,0.02
2.1500,2.00,0.01,0.02
2.2000,2.00,0.01,0.02
2.2500,2.00,0.01,0.02
2.3000,1.00,0.01,0.01
2.3500,2.00,0.01,0.02
2.4000,3.00,0.01,0.03
2.4500,5.00,0.01,0.05
2.5000,3.00,0.01,0.03
2.5500,3.00,0.01,0.03
2.6000,3.00,0.01,0.03
2.6500,3.00,0.01,0.03
2.7000,3.00,0.01,0.03
2.7500,3.00,0.01,0.03
2.8000,4.00,0.01,0.04
2.8500,3.00,0.01,0.03
2.9000,3.00,0.01,0.03
2.9500,3.00,0.01,0.03
3.0000,1.00,0.01,0.01
3.0500,2.00,0.01,0.02
3.1000,3.00,0.01,0.03
3.1500,2.00,0.01,0.02
3.2000,5.00,0.01,0.05
3.2500,6.00,0.01,0.06
3.3000,3.00,0.01,0.03
3.3500,5.00,0.01,0.05
3.4000,5.00,0.01,0.05
3.4500,1.00,0.01,0.01
3.5000,4.00,0.01,0.04
3.5500,2.00,0.01,0.02
3.6000,2.00,0.01,0.02
3.6500,4.00,0.01,0.04
3.7000,3.00,0.01,0.03
3.7500,3.00,0.01,0.03
3.8000,3.00,0.01,0.03
3.8500,3.00,0.01,0.03
3.9000,2.00,0.01,0.02
3.9500,3.00,0.01,0.03
4.0000,4.00,0.01,0.04
4.0500,4.00,0.01,0.04
4.1000,4.00,0.01,0.04
4.1500,5.00,0.01,0.05
4.2000,2.00,0.01,0.02
4.2500,2.00,0.01,0.02
4.3000,3.00,0.01,0.03
4.3500,4.00,0.01,0.04
4.4000,5.00,0.01,0.05
4.4500,3.00,0.01,0.03
4.5000,4.00,0.01,0.04
4.5500,4.00,0.01,0.04
4.6000,3.00,0.01,0.03
4.6500,5.00,0.01,0.05
4.7000,5.00,0.01,0.05
4.7500,8.00,0.01,0.08
4.8000,6.00,0.01,0.06
4.8500,4.00,0.01,0.04
4.9000,5.00,0.01,0.05
4.9500,5.00,0.01,0.05
5.0000,4.00,0.01,0.04
5.0500,5.00,0.01,0.05
5.1000,3.00,0.01,0.03
5.1500,4.00,0.01,0.04
5.2000,6.00,0.01,0.06
5.2500,5.00,0.01,0.05
5.3000,4.00,0.01,0.04
5.3500,5.00,0.01,0.05
5.4000,5.00,0.01,0.05
5.4500,4.00,0.01,0.04
5.5000,6.00,0.01,0.06
5.5500,5.00,0.01,0.05
5.6000,6.00,0.01,0.06
5.6500,5.00,0.01,0.05
5.7000,5.00,0.01,0.05
5.7500,7.00,0.01,0.07
5.8000,4.00,0.01,0.04
5.8500,2.00,0.01,0.02
5.9000,3.00,0.01,0.03
5.9500,2.00,0.01,0.02
6.0000,3.00,0.01,0.03
6.0500,4.00,0.01,0.04
6.1000,5.00,0.01,0.05
6.1500,3.00,0.01,0.03
6.2000,2.00,0.01,0.02
6.2500,3.00,0.01,0.03
6.3000,1.00,0.01,0.01
6.3500,3.00,0.01,0.03
6.4000,4.00,0.01,0.04
6.4500,0.00,0.01,0.00
6.5000,2.00,0.01,0.02
6.5500,4.00,0.01,0.04
6.6000,3.00,0.01,0.03
6.6500,2.00,0.01,0.02
6.7000,5.00,0.01,0.05
6.7500,3.00,0.01,0.03
6.8000,4.00,0.01,0.04
6.8500,4.00,0.01,0.04
6.9000,5.00,0.01,0.05
6.9500,3.00,0.01,0.03
7.0000,4.00,0.01,0.04
7.0500,3.00,0.01,0.03
7.1000,2.00,0.01,0.02
7.1500,1.00,0.01,0.01
7.2000,2.00,0.01,0.02
7.2500,4.00,0.01,0.04
7.3000,4.00,0.01,0.04
7.3500,4.00,0.01,0.04
7.4000,3.00,0.01,0.03
7.4500,3.00,0.01,0.03
7.5000,3.00,0.01,0.03
7.5500,2.00,0.01,0.02
7.6000,4.00,0.01,0.04
7.6500,4.00,0.01,0.04
7.7000,4.00,0.01,0.04
7.7500,3.00,0.01,0.03
7.8000,5.00,0.01,0.05
7.8500,3.00,0.01,0.03
7.9000,3.00,0.01,0.03
7.9500,5.00,0.01,0.05
8.0000,3.00,0.01,0.03
8.0500,5.00,0.01,0.05
8.1000,4.00,0.01,0.04
8.1500,3.00,0.01,0.03
8.2000,2.00,0.01,0.02
8.2500,2.00,0.01,0.02
8.3000,3.00,0.01,0.03
8.3500,4.00,0.01,0.04
8.4000,3.00,0.01,0.03
8.4500,3.00,0.01,0.03
8.5000,4.00,0.01,0.04
8.5500,3.00,0.01,0.03
8.6000,5.00,0.01,0.05
8.6500,3.00,0.01,0.03
8.7000,4.00,0.01,0.04
8.7500,4.00,0.01,0.04
8.8000,4.00,0.01,0.04
8.8500,4.00,0.01,0.04
8.9000,1.00,0.01,0.01
8.9500,3.00,0.01,0.03
9.0000,2.00,0.01,0.02
9.0500,1.00,0.01,0.01
9.1000,2.00,0.01,0.02
9.1500,4.00,0.01,0.04
9.2000,2.00,0.01,0.02
9.2500,2.00,0.01,0.02
9.3000,1.00,0.01,0.01
9.3500,2.00,0.01,0.02
9.4000,13.00,0.01,0.13
9.4500,25.00,0.01,0.25
9.5000,42.00,0.01,0.42
9.5500,45.00,0.01,0.45
9.6000,42.00,0.01,0.42
9.6500,35.00,0.01,0.35
9.7000,28.00,0.01,0.28
9.7500,18.00,0.01,0.18
9.8000,8.00,0.01,0.08
9.8500,1.00,0.01,0.01
9.9000,10.00,0.01,0.10
9.9500,21.00,0.01,0.21
10.0000,29.00,0.01,0.29
10.0500,44.00,14.14,621.95
10.1000,54.00,21.45,1158.14
10.1500,62.00,24.15,1497.14
10.2000,71.00,26.85,1906.19
10.2500,81.00,29.13,2359.75
10.3000,94.00,31.09,2922.02
10.3500,109.00,33.58,3660.00
10.4000,123.00,34.82,4283.38
10.4500,139.00,36.24,5036.91
10.5000,147.00,36.74,5400.09
10.5500,154.00,37.32,5746.81
10.6000,157.00,37.57,5897.89
10.6500,164.00,37.73,6188.11
10.7000,170.00,37.90,6442.76
10.7500,174.00,38.11,6630.49
10.8000,188.00,38.23,7187.41
10.8500,196.00,38.40,7525.83
10.9000,201.00,38.40,7717.82
10.9500,206.00,38.40,7909.80
11.0000,209.00,38.48,8042.36
11.0500,218.00,38.60,8415.85
11.1000,223.00,38.60,8608.87
11.1500,231.00,38.65,8927.31
11.2000,243.00,38.69,9401.16
11.2500,257.00,38.77,9964.15
11.3000,265.00,38.90,10307.34
11.3500,275.00,38.94,10707.72
11.4000,290.00,38.94,11291.78
11.4500,294.00,38.98,11459.74
11.5000,297.00,38.94,11564.34
11.5500,300.00,38.94,11681.15
11.6000,306.00,38.98,11927.49
11.6500,311.00,38.98,12122.38
11.7000,327.00,39.02,12759.62
11.7500,351.00,39.06,13710.69
11.8000,386.00,39.06,15077.86
11.8500,409.00,39.06,15976.28
11.9000,431.00,39.10,16853.55
11.9500,449.00,39.10,17557.41
12.0000,461.00,39.10,18026.65
12.0500,461.00,39.14,18045.80
12.1000,469.00,39.23,18397.93
12.1500,477.00,39.19,18691.93
12.2000,492.00,39.19,19279.73
12.2500,498.00,39.19,19514.85
12.3000,509.00,39.23,19967.05
12.3500,520.00,39.19,20376.95
12.4000,524.00,39.23,20555.47
12.4500,541.00,39.27,21244.82
12.5000,544.00,39.23,21340.02
12.5500,528.00,39.23,20712.38
12.6000,519.00,39.27,20380.89
12.6500,495.00,39.14,19376.72
12.7000,442.00,39.06,17265.32
12.7500,361.00,38.98,14071.32
12.8000,255.00,38.73,9876.01
12.8500,194.00,38.48,7465.16
12.9000,127.00,37.90,4813.12
12.9500,89.00,37.36,3324.90
13.0000,57.00,35.20,2006.30
13.0500,29.00,27.10,785.81
13.1000,5.00,0.01,0.05
13.1500,13.00,0.01,0.13
13.2000,28.00,0.01,0.28
13.2500,40.00,0.01,0.40
13.3000,44.00,0.01,0.44
13.3500,45.00,0.01,0.45
13.4000,29.00,0.01,0.29
13.4500,9.00,0.01,0.09
13.5000,5.00,0.01,0.05
13.5500,4.00,0.01,0.04
13.6000,4.00,0.01,0.04
13.6500,3.00,0.01,0.03
13.7000,4.00,0.01,0.04
13.7500,24.00,0.01,0.24
13.8000,38.00,0.01,0.38
13.8500,23.00,0.01,0.23
13.9000,13.00,0.01,0.13
13.9500,0.00,0.01,0.00
14.0000,21.00,0.01,0.21
14.0500,37.00,0.01,0.37
14.1000,54.00,0.01,0.54
14.1500,66.00,0.01,0.66
14.2000,77.00,0.01,0.77
14.2500,89.00,0.01,0.89
14.3000,92.00,0.01,0.92
14.3500,97.00,0.01,0.97
14.4000,99.00,0.01,0.99
14.4500,98.00,0.01,0.98
14.5000,102.00,0.01,1.02
14.5500,100.00,0.01,1.00
14.6000,101.00,0.01,1.01
14.6500,95.00,0.01,0.95
14.7000,89.00,0.01,0.89
14.7500,79.00,0.01,0.79
14.8000,53.00,0.01,0.53
14.8500,33.00,0.01,0.33
14.9000,11.00,0.01,0.11
14.9500,4.00,0.01,0.04
15.0000,22.00,0.01,0.22
15.0500,34.00,0.01,0.34
15.1000,38.00,0.01,0.38
15.1500,37.00,0.01,0.37
15.2000,29.00,0.01,0.29
15.2500,17.00,0.01,0.17
15.3000,16.00,0.01,0.16
15.3500,13.00,0.01,0.13
15.4000,11.00,0.01,0.11
15.4500,13.00,0.01,0.13
15.5000,14.00,0.01,0.14
15.5500,16.00,0.01,0.16
15.6000,15.00,0.01,0.15
15.6500,16.00,0.01,0.16
15.7000,19.00,0.01,0.19
15.7500,22.00,0.01,0.22
15.8000,27.00,0.01,0.27
15.8500,27.00,0.01,0.27
15.9000,29.00,0.01,0.29
15.9500,35.00,0.01,0.35
16.0000,36.00,0.01,0.36
16.0500,36.00,0.01,0.36
16.1000,34.00,0.01,0.34
16.1500,34.00,0.01,0.34
16.2000,35.00,0.01,0.35
16.2500,36.00,0.01,0.36
16.3000,37.00,0.01,0.37
16.3500,37.00,0.01,0.37
16.4000,38.00,0.01,0.38
16.4500,36.00,0.01,0.36
