x_value,total_1,total_2,total_3,total_4
0,0,0,0,0
1,0.08302685446353952,0.6654930819507007,0.6822136110596343,0.6198910799070495
2,0.25714609230215413,0.833330370358595,0.8246140029133185,0.4426873693727127
3,0.009567601216758481,0.5801470222184535,0.5188688550496332,0.44678198556726434
4,0.6879199845228967,0.759186011516782,0.4426840183109012,0.8081743592536483
5,0.2079166388105551,0.367867664408013,0.7926302696882139,0.6870180267350059
6,0.36659971477063513,0.523379244226347,0.14336105697679102,0.40065809000408814
7,0.7704393620329015,0.17147579195509344,0.902143059481645,0.8016448266157185
8,0.2137677345889325,0.664524642854429,0.24203736798500963,0.05269629555558464
9,0.5561300797812613,0.3223868683675827,0.7810524019846913,0.03591283746358176
10,0.5179714707730609,0.9385215656634533,0.2151316695899651,0.383732137632279
11,0.1640104904662255,0.459095655021871,0.15218285315001034,0.5074240166933366
12,0.8954168080226588,0.10533113413242312,0.8797213228210696,0.6650663459935341
13,0.9409518203563014,0.29672655912867674,0.7146741230325758,0.6635808169777891
