Data[0],Time,Force,Mag,Accel,Gyro
8,0.0000,8.00,49150.5000,0.8105,-0.1831
1,0.0200,6.00,28.5000,0.8107,-0.1831
1,0.0400,5.00,30.0000,0.8109,-0.1831
1,0.0600,6.00,22.5000,0.8104,-0.1831
1,0.0800,5.00,31.5000,0.8107,-0.1831
1,0.1000,11.00,30.0000,0.8103,-0.1831
1,0.1200,7.00,30.0000,0.8113,-0.1831
1,0.1400,6.00,30.0000,0.8103,-0.1831
1,0.1600,7.00,28.5000,0.8116,-0.1831
1,0.1800,5.00,28.5000,0.8107,-0.1831
1,0.2000,6.00,31.5000,0.8107,-0.1221
1,0.2200,6.00,34.5000,0.8103,-0.1831
1,0.2400,5.00,33.0000,0.8098,-0.1831
1,0.2600,8.00,30.0000,0.8102,-0.1831
1,0.2800,6.00,28.5000,0.8103,-0.1831
1,0.3000,6.00,33.0000,0.8099,-0.1831
1,0.3200,6.00,28.5000,0.8103,-0.1831
1,0.3400,6.00,28.5000,0.8104,-0.1831
1,0.3600,7.00,30.0000,0.8109,-0.1831
1,0.3800,6.00,30.0000,0.8109,-0.1831
1,0.4000,4.00,31.5000,0.8113,-0.1831
1,0.4200,6.00,28.5000,0.8113,-0.1831
1,0.4400,4.00,30.0000,0.8098,-0.1831
1,0.4600,6.00,28.5000,0.8105,-0.1831
1,0.4800,4.00,27.0000,0.8105,-0.1831
1,0.5000,6.00,27.0000,0.8105,-0.1831
1,0.5200,8.00,27.0000,0.8104,-0.1831
1,0.5400,7.00,30.0000,0.8109,-0.1831
1,0.5600,7.00,25.5000,0.8107,-0.1831
1,0.5800,3.00,27.0000,0.8109,-0.1831
1,0.6000,7.00,30.0000,0.8098,-0.1831
1,0.6200,6.00,31.5000,0.8102,-0.3052
1,0.6400,7.00,27.0000,0.8070,0.0000
1,0.6600,5.00,30.0000,0.8094,1.0376
1,0.6800,7.00,24.0000,0.8108,-0.1831
1,0.7000,7.00,31.5000,0.8104,-0.1831
1,0.7200,6.00,34.5000,0.8113,-0.1221
1,0.7400,11.00,31.5000,0.8104,-0.1831
1,0.7600,8.00,28.5000,0.8109,-0.1221
1,0.7800,8.00,33.0000,0.8103,-0.1221
1,0.8000,7.00,33.0000,0.8108,-0.1221
1,0.8200,7.00,28.5000,0.8093,0.0610
1,0.8400,6.00,31.5000,0.8121,-0.0610
1,0.8600,7.00,30.0000,0.8118,-0.1221
1,0.8800,9.00,31.5000,0.8115,-0.1831
1,0.9000,7.00,28.5000,0.8109,-0.1831
1,0.9200,5.00,24.0000,0.8096,-0.1831
1,0.9400,4.00,30.0000,0.8096,-0.1831
1,0.9600,8.00,27.0000,0.8098,-0.1831
1,0.9800,9.00,22.5000,0.8110,-0.1831
1,1.0000,7.00,27.0000,0.8113,-0.1831
1,1.0200,5.00,25.5000,0.8105,-0.1831
1,1.0400,6.00,31.5000,0.8109,-0.1831
1,1.0600,7.00,27.0000,0.8112,-0.1831
1,1.0800,11.00,28.5000,0.8103,-0.2441
1,1.1000,8.00,25.5000,0.8101,-0.2441
1,1.1200,5.00,28.5000,0.8107,-0.1831
1,1.1400,9.00,25.5000,0.8112,-0.1831
1,1.1600,7.00,24.0000,0.8102,-0.1831
1,1.1800,11.00,28.5000,0.8104,-0.1831
1,1.2000,5.00,18.0000,0.8103,-0.1831
1,1.2200,7.00,24.0000,0.8110,-0.1831
1,1.2400,8.00,25.5000,0.8105,-0.1831
1,1.2600,6.00,18.0000,0.8112,-0.2441
1,1.2800,9.00,21.0000,0.8105,-0.1831
1,1.3000,5.00,22.5000,0.8102,-0.1831
1,1.3200,9.00,25.5000,0.8102,-0.1831
1,1.3400,7.00,18.0000,0.8110,-0.1831
1,1.3600,7.00,27.0000,0.8109,-0.1831
1,1.3800,7.00,21.0000,0.8112,-0.2441
1,1.4000,7.00,28.5000,0.8108,-0.1831
1,1.4200,7.00,25.5000,0.8103,-0.2441
1,1.4400,6.00,21.0000,0.8098,-0.1831
1,1.4600,6.00,21.0000,0.8109,-0.1831
1,1.4800,8.00,22.5000,0.8108,-0.1831
1,1.5000,8.00,22.5000,0.8101,-0.1221
1,1.5200,5.00,21.0000,0.8098,-0.1831
1,1.5400,7.00,22.5000,0.8105,-0.1221
1,1.5600,5.00,22.5000,0.8103,-0.1831
1,1.5800,6.00,25.5000,0.8109,-0.1831
1,1.6000,7.00,24.0000,0.8109,-0.1831
1,1.6200,11.00,24.0000,0.8101,-0.1831
1,1.6400,6.00,27.0000,0.8103,-0.1831
1,1.6600,4.00,22.5000,0.8109,-0.1831
1,1.6800,8.00,27.0000,0.8109,-0.1831
1,1.7000,6.00,21.0000,0.8098,-0.1831
1,1.7200,6.00,22.5000,0.8103,-0.1831
1,1.7400,5.00,21.0000,0.8107,-0.1831
1,1.7600,5.00,24.0000,0.8114,-0.1831
1,1.7800,9.00,24.0000,0.8104,-0.1831
1,1.8000,7.00,27.0000,0.8105,-0.1831
1,1.8200,6.00,24.0000,0.8107,-0.1831
1,1.8400,5.00,24.0000,0.8108,-0.1831
1,1.8600,7.00,22.5000,0.8112,-0.1831
1,1.8800,7.00,25.5000,0.8097,-0.1831
1,1.9000,6.00,16.5000,0.8105,-0.1831
1,1.9200,6.00,28.5000,0.8112,-0.1831
1,1.9400,6.00,22.5000,0.8110,-0.1831
1,1.9600,6.00,21.0000,0.8101,-0.1831
1,1.9800,6.00,25.5000,0.8101,-0.1831
1,2.0000,6.00,19.5000,0.8107,-0.1831
1,2.0200,6.00,25.5000,0.8110,-0.1831
1,2.0400,7.00,27.0000,0.8104,-0.1831
1,2.0600,5.00,22.5000,0.8107,-0.1831
1,2.0800,8.00,22.5000,0.8105,-0.1831
1,2.1000,3.00,19.5000,0.8110,-0.1831
1,2.1200,7.00,25.5000,0.8103,-0.1831
