Data[0],Time,Force,Mag_ave,Accel_ave,Gyro_ave,Class
1,0.02,0,-722,-722,-722,1
1,0.04,0,-721,-721,-721,1
1,0.06,0,-719.5,-719.5,-719.5,1
1,0.08,0,-722,-722,-722,1
1,0.1,1,-720,-720,-720,1
1,0.12,-1,-720.5,-720.5,-720.5,1
1,0.14,0,-719,-719,-719,1
1,0.16,0,-721,-721,-721,1
1,0.18,0,-719.5,-719.5,-719.5,1
1,0.2,0,-720.5,-720.5,-720.5,1
1,0.22,0,-720.5,-720.5,-720.5,1
1,0.24,-1,-718.5,-718.5,-718.5,1
1,0.26,0,-720,-720,-720,1
1,0.28,0,-720,-720,-720,1
1,0.3,0,-720,-720,-720,1
1,0.32,-1,-720,-720,-720,1
1,0.34,0,-720,-720,-720,1
1,0.36,0,-719.5,-719.5,-719.5,1
1,0.38,0,-718.5,-718.5,-718.5,1
1,0.4,0,-720,-720,-720,1
1,0.42,0,-720,-720,-720,1
1,0.44,0,-720.5,-720.5,-720.5,1
1,0.46,-1,-720,-720,-720,1
1,0.48,0,-719,-719,-719,1
1,0.5,-1,-718,-718,-718,1
1,0.52,0,-718.5,-718.5,-718.5,1
1,0.54,0,-720,-720,-720,1
1,0.56,0,-720,-720,-720,1
1,0.58,0,-718.5,-718.5,-718.5,1
1,0.6,0,-721,-721,-721,1
1,0.62,0,-721,-721,-721,1
1,0.64,0,-721,-721,-721,1
1,0.66,0,-718.5,-718.5,-718.5,1
1,0.68,0,-721,-721,-721,1
1,0.7,0,-720.5,-720.5,-720.5,1
1,0.72,0,-720.5,-720.5,-720.5,1
1,0.74,0,-719,-719,-719,1
1,0.76,0,-718.5,-718.5,-718.5,1
1,0.78,0,-718.5,-718.5,-718.5,1
1,0.8,0,-720.5,-720.5,-720.5,1
1,0.82,0,-717.5,-717.5,-717.5,1
1,0.84,0,-719,-719,-719,1
1,0.86,0,-721.5,-721.5,-721.5,1
1,0.88,0,-721,-721,-721,1
1,0.9,0,-722,-722,-722,1
1,0.92,0,-721,-721,-721,1
1,0.94,0,-719.5,-719.5,-719.5,1
1,0.96,1,-719,-719,-719,1
1,0.98,0,-719.5,-719.5,-719.5,1
1,1,0,-721.5,-721.5,-721.5,1
1,1.02,0,-720,-720,-720,1
1,1.04,0,-719,-719,-719,1
1,1.06,-1,-719.5,-719.5,-719.5,1
1,1.08,-1,-720,-720,-720,1
1,1.1,0,-721.5,-721.5,-721.5,1
1,1.12,0,-719.5,-719.5,-719.5,1
1,1.14,0,-719.5,-719.5,-719.5,1
1,1.16,-1,-719,-719,-719,1
1,1.18,0,-720.5,-720.5,-720.5,1
1,1.2,0,-721.5,-721.5,-721.5,1
1,1.22,0,-719,-719,-719,1
1,1.24,0,-720,-720,-720,1
1,1.26,-1,-718,-718,-718,1
1,1.28,0,-719,-719,-719,1
1,1.3,0,-722,-722,-722,1
1,1.32,-2,-722,-722,-722,1
1,1.34,0,-721.5,-721.5,-721.5,1
1,1.36,0,-719,-719,-719,1
1,1.38,0,-720,-720,-720,1
1,1.4,0,-721,-721,-721,1
1,1.42,0,-719.5,-719.5,-719.5,1
1,1.44,0,-720.5,-720.5,-720.5,1
1,1.46,-1,-721.5,-721.5,-721.5,1
1,1.48,0,-719.5,-719.5,-719.5,1
1,1.5,0,-719.5,-719.5,-719.5,1
1,1.52,-1,-721,-721,-721,1
1,1.54,0,-720.5,-720.5,-720.5,1
1,1.56,0,-720.5,-720.5,-720.5,1
1,1.58,0,-722.5,-722.5,-722.5,1
1,1.6,0,-719.5,-719.5,-719.5,1
1,1.62,0,-723,-723,-723,1
1,1.64,0,-726,-726,-726,1
1,1.66,0,-723.5,-723.5,-723.5,1
1,1.68,0,-725.5,-725.5,-725.5,1
1,1.7,-1,-723.5,-723.5,-723.5,1
